PokerStars Tournament #2282505020, No Limit Hold'em
Super Satellite
Buy-In: $0.98/$0.12 USD
378 players
Total Prize Pool: $440.00 USD 
Target Tournament #2271585677 Buy-In: $11.00 USD
Tournament started 2018/05/10 18:15:00 CET [2018/05/10 12:15:00 ET]

  1: 1MinnieMouse1 (Ukraine), still playing
  2: 1PRO100 (Russia), still playing
  3: 24thJune1972 (United Kingdom), still playing
  4: 2bad4u00 (Greece), still playing
  5: 3to repchik (Russia), still playing
  6: 5436190 (Russia), still playing
  7: AA_SERAS_AA (Russia), still playing
  8: ANIKA551 (Bulgaria), still playing
  9: AO_984 (Canada), still playing
  10: AdSki16 (United Kingdom), still playing
  11: AlbertoGBV (Russia), still playing
  12: AlexTimia2 (Russia), still playing
  13: Alexxel777 (Russia), still playing
  14: Armand240 (Albania), still playing
  15: AuLis1 (Lithuania), still playing
  16: Babajiyoghi (Greece), still playing
  17: BeHoLo (Russia), still playing
  18: BetoCrawler (Brazil), still playing
  19: Bigonao77 (Switzerland), still playing
  20: Bleys72 (Germany), still playing
  21: BogdanIosif (Romania), still playing
  22: Burriana99 (United Kingdom), still playing
  23: CYPOBblu70 (Russia), still playing
  24: Camooon (Russia), still playing
  25: Canadien1993 (Germany), still playing
  26: Cancarevic (Serbia), still playing
  27: Cantselyar (Russia), still playing
  28: Charita001 (Ecuador), still playing
  29: Coevorden87 (Netherlands), still playing
  30: CountOleksiy (Ukraine), still playing
  31: Curioso24 (Peru), still playing
  32: D.Rossetti (Brazil), still playing
  33: Danila.Int (Russia), still playing
  34: DanilajanKa (Russia), still playing
  35: DawilioFR (Belgium), still playing
  36: Dayfolder (Switzerland), still playing
  37: Delphin1904 (Switzerland), still playing
  38: Derwerg (Russia), still playing
  39: Divx77 (Brazil), still playing
  40: DreamSl4y3r (Hungary), still playing
  41: DrunkLooser (Moldova), still playing
  42: EZEQUIEL.C10 (Netherlands), still playing
  43: Eimy_pl (Bulgaria), still playing
  44: Elchorro2008 (Germany), still playing
  45: Evgenij1977 (Russia), still playing
  46: Eza Torsti (Finland), still playing
  47: Fenixpersian (Brazil), still playing
  48: FireNine.BR (Brazil), still playing
  49: Fish_Marius (Romania), still playing
  50: Fox-trouble (Russia), still playing
  51: FrançaW (Brazil), still playing
  52: G.O.O.D..745 (Romania), still playing
  53: GAF inc (Russia), still playing
  54: GOSETTE77 (Dominican Republic), still playing
  55: GabiMuguruza (Ukraine), still playing
  56: Gee1tsme (United Kingdom), still playing
  57: General Isti (Hungary), still playing
  58: Gilgamesch00 (Germany), still playing
  59: Gétje (Belgium), still playing
  60: Günther N. (Germany), still playing
  61: Harbuz2017 (Romania), still playing
  62: Hasenhirn25 (Germany), still playing
  63: IKBENSTEFAN5 (Netherlands), still playing
  64: Ilya13355 (Russia), still playing
  65: JOAOFWEBBER (Brazil), still playing
  66: Jack17444 (Germany), still playing
  67: Jakefer1 (United Kingdom), still playing
  68: JustProSkill (Russia), still playing
  69: Jylló (Brazil), still playing
  70: K.E.V.00111 (Russia), still playing
  71: Katniss123 (Germany), still playing
  72: Keke0708 (Luxembourg), still playing
  73: Keren1977 (Jersey), still playing
  74: Khimaaa (Ukraine), still playing
  75: Kidi08 (Netherlands), still playing
  76: Krzysiek811 (Poland), still playing
  77: KyLeRgUrU (Russia), still playing
  78: Kyle2109 (Vietnam), still playing
  79: L@sker (Ukraine), still playing
  80: LUCKYCHUPS (Russia), still playing
  81: LastMohikans (Russia), still playing
  82: Levin2015 (Uruguay), still playing
  83: Liwke1 (Netherlands), still playing
  84: Lotus909 (Russia), still playing
  85: Ltg8 (Russia), still playing
  86: Lucio_capo (Argentina), still playing
  87: Lucky4u93 (Germany), still playing
  88: Lui Ray777 (Belarus), still playing
  89: M-teeorie (Belgium), still playing
  90: MALPELLIKA (Russia), still playing
  91: MJ23AIRMAN (Bulgaria), still playing
  92: Machidon7 (Romania), still playing
  93: Mantado69 (Canada), still playing
  94: MapakaHa (Russia), still playing
  95: MazZ_2201 (Austria), still playing
  96: MerryDown (United Kingdom), still playing
  97: Mi3iHec (Ukraine), still playing
  98: Mihaleks72 (Russia), still playing
  99: Mister1Pink (Germany), still playing
  100: Mixery_ML80 (Germany), still playing
  101: MixxxON979 (Russia), still playing
  102: Mona174610 (Germany), still playing
  103: Monstrson (Russia), still playing
  104: Moriarty709 (Bulgaria), still playing
  105: MrNobody346 (Ukraine), still playing
  106: MrP1nk111 (Germany), still playing
  107: Musake85 [2] (Germany), still playing
  108: Nedostup92 (Russia), still playing
  109: Niel76 (Russia), still playing
  110: Nikola0987 (Ukraine), still playing
  111: NoBuddy@HH (Germany), still playing
  112: Nobb1983 (Germany), still playing
  113: Nyusha108 (Russia), still playing
  114: OdessiT_81 (Russia), still playing
  115: OniPetrut (Romania), still playing
  116: Onkiss ^..^ (Russia), still playing
  117: OsKvStark (Mexico), still playing
  118: PEPS9202 (Ukraine), still playing
  119: PROPLATA (Ukraine), still playing
  120: PavShal123 (Russia), still playing
  121: Penguin757 (Russia), still playing
  122: PetkovPavel (Bulgaria), still playing
  123: Petr0star (Ukraine), still playing
  124: PietroSk1 (Slovakia), still playing
  125: Pihlakas177 (Estonia), still playing
  126: Plan Müller (Germany), still playing
  127: Platy74 (Germany), still playing
  128: Pokermagic123 (Russia), still playing
  129: PrettyLetty (Slovakia), still playing
  130: Prosperous4 (Ukraine), still playing
