PokerStars Tournament #2233579797, No Limit Hold'em
Buy-In: $1.36/$0.14 USD
45 players
Total Prize Pool: $61.20 USD 
Tournament started 2018/02/27 17:17:28 ET

  1: -Homer_Jay-t (Brazil), still playing
  2: 0GTPoker0 (United Kingdom), still playing
  3: Andrey-120590 (Russia), still playing
  4: BalliRay (Brazil), still playing
  5: BlazePinkPink (Greece), still playing
  6: Dodico (Brazil), still playing
  7: Drumajz (Czech Republic), still playing
  8: Ferpagani111 (Brazil), still playing
  9: Furiosoj (Switzerland), still playing
  10: Gabriellln (Brazil), still playing
  11: HongNghi (Germany), still playing
  12: Huracanw2012 (Argentina), still playing
  13: Ivanostra (Netherlands), still playing
  14: JAIME55555 (Mexico), still playing
  15: JimCook96 (Brazil), still playing
  16: Let'sPlayPLO (Russia), still playing
  17: NickMedeiros (Brazil), still playing
  18: Pedrinfogo (Brazil), still playing
  19: Pet_topgreen (Brazil), still playing
  20: Rudge Dian (Brazil), still playing
  21: WorldPoker.W (Brazil), still playing
  22: Xamppaa (Finland), still playing
  23: adamfgul (Belarus), still playing
  24: chel_poker777 (Russia), still playing
  25: cosmic10 (United Kingdom), still playing
  26: domgoud2391 (Canada), still playing
  27: franzzz (Canada), still playing
  28: glorie75 (Romania), still playing
  29: jonny-fes (Moldova), still playing
  30: louisa4000 (Netherlands), still playing
  31: mrpornstar88 (Sweden), still playing
  32: nik2080 (Greece), still playing
  33: olegych1984 (Russia), still playing
  34: pro junior37 (Russia), still playing
  35: ricsaMG (Germany), still playing
  36: roby00roby (Romania), still playing
  37: tgun2 (Canada), still playing
  38: tttttttttt30 (Russia), still playing
  39: vestanra (Ukraine), still playing
  40: will.buy92 (Brazil), still playing
  41: ollikahn23 (Germany), 
  42: JustTrolllin (Czech Republic), 
  43: sushied333 (Russia), 
  44: rioscar (Argentina), 
  45: catalan8206 (Austria), 

You finished in 41st place (eliminated at hand #183142416722).


