PokerStars Tournament #2282606587, No Limit Hold'em
Super Satellite
Buy-In: $13.37/$1.63 USD
355 players
Total Prize Pool: $4746.35 USD 
Target Tournament #2255161657 Buy-In: $215.00 USD
Tournament started 2018/04/20 8:02:00 ET

  1: 01SAI (Belgium), still playing
  2: 1111101000 (Russia), still playing
  3: 1JORSON (Poland), still playing
  4: 7SainT7 (Ukraine), still playing
  5: Advenator (Russia), still playing
  6: Andw94 (Romania), still playing
  7: BecksTownBro (Germany), still playing
  8: Betman1971 (Germany), still playing
  9: Cardemonix (Belarus), still playing
  10: ClintPower (Germany), still playing
  11: CricketAce6 (United Kingdom), still playing
  12: Danillo.G007 [2] (Brazil), still playing
  13: Dimboss7777 (Belarus), still playing
  14: G.HANSEN333 (Russia), still playing
  15: Jarod Prete (Romania), still playing
  16: KickAssPoker#1 [2] (Canada), still playing
  17: KurviMurvi (Bulgaria), still playing
  18: Opresqu (Moldova), still playing
  19: PokerNewLife (Ukraine), still playing
  20: Project2003 (Germany), still playing
  21: SilentWil [2] (Germany), still playing
  22: SmileBoy777 (Russia), still playing
  23: Sowulo_O (Ukraine), still playing
  24: SurpassThePast (China), still playing
  25: Vlad0184 (Romania), still playing
  26: WLAXeeee [2] (Russia), still playing
  27: Yaemail (Russia), still playing
  28: Yorkypoke [2] (United Kingdom), still playing
  29: arthurmajor (Brazil), still playing
  30: atai2018666 (China), still playing
  31: blluffer (South Korea), still playing
  32: conservativeAbe (Iceland), still playing
  33: dave_eba (United Kingdom), still playing
  34: fearle$$diva (Canada), still playing
  35: geopoisk (Russia), still playing
  36: gggenya (Russia), still playing
  37: gibson213 (Poland), still playing
  38: kilimili44 (Switzerland), still playing
  39: kunkku (Finland), still playing
  40: lin9142 (China), still playing
  41: lzhui8888 (China), still playing
  42: mar9300 [2] (Germany), still playing
  43: maxxmeister (Poland), still playing
  44: mixjuice (Japan), still playing
  45: oeschi111 (Germany), still playing
  46: oneoar (Japan), still playing
  47: partakkis (Cyprus), still playing
  48: pavlelelep (Serbia), still playing
  49: pokermanga (Sweden), still playing
  50: sensejus2107 (United Kingdom), still playing
  51: sleo111 (Greece), still playing
  52: syncbic (South Korea), still playing
  53: taag01 [2] (Brazil), still playing
  54: tunjo_x (Bulgaria), still playing
  55: tuvshin777 (Mongolia), still playing
  56: veyrassois [2] (Switzerland), still playing
  57: w1n@w4r (Latvia), still playing
  58: wkpzsy (China), still playing
  59: wqq22 (Austria), still playing
  60: xxxAYADxxx (United Kingdom), still playing
  61: xzibitzet333 (Russia), still playing
  62: young usama (Ukraine), still playing
  63: ollikahn23 (Germany), 
  64: MoD_007de (Germany), 
  65: kanivalosk6 (Greece), 
  66: nik77grom (Russia), 
  67: Chillero1441 [3] (Austria), 
  68: chaynoso (Russia), 
  69: Ariguzblack (Mexico), 
  70: Max__1303DE [3] (Germany), 
  71: giony92d [2] (Romania), 
  72: GaryG32 (Canada), 
  73: bergeroo (Germany), 
  74: zzhalbert [2] (China), 
  75: ALucky556 (Brazil), 
  76: wangzhe483 (China), 
  77: jipvis [2] (Netherlands), 
  78: Xumbin Jr (Brazil), 
  79: lubuski.gin (Norway), 
  80: frost3ggg (Russia), 
  81: ikiruxa (Russia), 
  82: MAKC56789 (Russia), 
  83: alanzao [2] (Brazil), 
  84: KuroNamako (Japan), 
  85: LosGansos (Germany), 
  86: LMayi [3] (Russia), 
  87: arthurect10 (Brazil), 
  88: VitAAliKK (Moldova), 
  89: poher stars7 (Russia), 
  90: Ineedyours [3] (Germany), 
  91: RedScorpn83 (Russia), 
  92: Sh4rp_Sh4rk (Russia), 
  93: ipayou (Brazil), 
  94: BuckFitchez [2] (Estonia), 
  95: Dawhisky (Denmark), 
  96: martha1888 (Denmark), 
  97: realrood (Netherlands), 
  98: kethaA (Canada), 
  99: al1ce_z [2] (Japan), 
  100: Bumbarak83 (Kazakhstan), 
  101: Marcin133z [2] (Poland), 
  102: Koeienboer [2] (Netherlands), 
  103: eqmegz (Russia), 
  104: Allthijmen (Netherlands), 
  105: Ineedyours [2] (Germany), 
  106: ACAM bOK (Bulgaria), 
  107: pjenkinsp1997 [3] (United Kingdom), 
  108: BjörnD (Norway), 
  109: drijanzen (Brazil), 
  110: riva-poa (Brazil), 
  111: giony92d (Romania), 
  112: Chillero1441 [2] (Austria), 
  113: Leancheese (Norway), 
  114: VorteX_RUS (Russia), 
  115: kroos_39391 (Austria), 
  116: pjenkinsp1997 [2] (United Kingdom), 
  117: SuibhneGealt (United Kingdom), 
  118: AntonJonsson (Iceland), 
  119: alanzao (Brazil), 
  120: feagan (United Kingdom), 
  121: prime13063 (Kazakhstan), 
  122: Pygusko (Slovakia), 
  123: nastena140199 (Russia), 
  124: tuborg123456 [3] (Belgium), 
  125: comeecome88 [2] (Brazil), 
