PokerStars Tournament #2282606533, No Limit Hold'em
  168: polaris2915 (China), 
  169: Plan_Trap (Ukraine), 
  170: bailey160 (Netherlands), 
  171: kanaka777 (Mongolia), 
  172: Hessuuh (Finland), 
  173: korotello [2] (Russia), 
  174: Xp0Hb (Russia), 
  175: IMBILLIONER1 (Mongolia), 
  176: DVDVILI (Norway), 
  177: saadutz (United Kingdom), 
  178: PETROVIH4409 (Russia), 
  179: p.s.1love (Russia), 
  180: rgta1992 [2] (Poland), 
  181: hell_angel15 [2] (Bulgaria), 
  182: Dobrinkov1617 (Bulgaria), 
  183: martich88 (Belgium), 
  184: gulit82 (Russia), 
  185: NaikonM (Russia), 
  186: qvmax2601 (Vietnam), 
  187: AEM'WHO'AEM (Romania), 
  188: arsmkv.7 (Russia), 
  189: sidlovskiy89 (Ukraine), 
  190: religioved (Russia), 
  191: Fumagalli01 (Germany), 
  192: Spartan735 (United Kingdom), 
  193: nickgolf72 (Ireland), 
  194: Vitaliy5854 (Russia), 
  195: adiosoulljw (Uruguay), 
  196: Wuffe007 (Norway), 
  197: bdei (Romania), 
  198: fairplayguma (Brazil), 
  199: starcashflow (Russia), 
  200: ALLIEN75ij (Brazil), 
  201: 25062014 (Russia), 
  202: haideee (Romania), 
  203: Pedrohf31 (Brazil), 
  204: AlexKayz (Ukraine), 
  205: dd51_spk2 (Japan), 
  206: tltkim3 (Russia), 
  207: bammbu1986 (Bulgaria), 
  208: reddog2018 (China), 
  209: 5663579 (Russia), 
  210: ikiruxa (Russia), 
  211: BlackD2511 (Germany), 
  212: ollikahn23 (Germany), 
  213: pokercat1313 (Switzerland), 
  214: andnelubin (Russia), 
  215: mamhiengmix (Philippines), 
  216: hanhan1209 (China), 
  217: skalexjung [2] (Germany), 
  218: missing0211 (Japan), 
  219: Ma4ozzz (Russia), 
  220: korotello (Russia), 
  221: sosollssein (Germany), 
  222: rgta1992 (Poland), 
  223: hell_angel15 (Bulgaria), 
  224: valentina-sar (Bulgaria), 
  225: NsDance (Romania), 
  226: PARASKUF (Dominican Republic), 
  227: mr.hameleon1 (Ukraine), 
  228: michy-much (Germany), 
  229: 13DIMKA13 (Russia), 
  230: Rokk3r (Germany), 
  231: leopoker1007 (Brazil), 
  232: Fr@n_4774 (Austria), 
  233: Bubusir (Russia), 
  234: Lisa Leizer (Germany), 
  235: Philippus8 (Germany), 
  236: andrademan (Poland), 
  237: skalexjung (Germany), 
  238: eqmegz (Russia), 
  239: WLAXeeee (Russia), 
  240: MarkoBONO (Croatia), 
  241: Xandefla1982 (Brazil), 
  242: crazykat35 (United Kingdom), 
  243: Anastasiya2128 (Russia), 
  244: riddlerxyz (Switzerland), 
  245: corkirl55 (Ireland), 
  246: qkrgmlrjs (South Korea), 
  247: SuperFly573 (United Kingdom), 
  248: ganbold8698 (Mongolia), 
You finished the tournament (eliminated at hand #185415425848).You finished the tournament.


You made 1 re-entries for a total of $15.00.

