PokerStars Tournament #2243832673, No Limit Hold'em
  50: 1MOPE1 (Russia), still playing
  51: 1NMC (Romania), still playing
  52: 1SkiTK (Norway), still playing
  53: 1TheSpiteful (Switzerland), still playing
  54: 1_conor_b_1 (Netherlands), still playing
  55: 1_vodovo (Czech Republic), still playing
  56: 1aries13 (Poland), still playing
  57: 1d107 (Sweden), still playing
  58: 1hvi (Ukraine), still playing
  59: 1schumacher (Switzerland), still playing
  60: 2*crazyace (Norway), still playing
  61: 2008nik2008 (Russia), still playing
  62: 2079646 (Brazil), still playing
  63: 2232342 (Serbia), still playing
  64: 23victor01 (Germany), still playing
  65: 240891rah (Russia), still playing
  66: 247cat (Russia), still playing
  67: 24moneymaker (Canada), still playing
  68: 2703 iceman (Germany), still playing
  69: 278ALEX278 (Germany), still playing
  70: 29asorgi (Brazil), still playing
  71: 2BlackNines (Canada), still playing
  72: 2Lazy2Play (Belarus), still playing
  73: 2Seba7 (Poland), still playing
  74: 2aSi (Romania), still playing
  75: 2alprezzodi1 (Malta), still playing
  76: 2chance2 (Ukraine), still playing
  77: 2freak4you (Canada), still playing
  78: 2outerjames (Finland), still playing
  79: 2pardioeuf (United Kingdom), still playing
  80: 31decembrie13 (Romania), still playing
  81: 333LERNIK333 (Russia), still playing
  82: 333halbevil (Germany), still playing
  83: 3930 visp (Switzerland), still playing
  84: 3AXE33 (United Kingdom), still playing
  85: 3L3CTR0.89 (Belgium), still playing
  86: 3Ljuhl4kyyKK (Finland), still playing
  87: 3Osomething (Ireland), still playing
  88: 3betlait (Andorra), still playing
  89: 3gyf3csk3 (Hungary), still playing
  90: 3iourou (Cyprus), still playing
  91: 3lifestyle (Russia), still playing
  92: 3mre1 (Germany), still playing
  93: 3silverhaze3 (Germany), still playing
  94: 420Kratos (Croatia), still playing
  95: 420ejit (United Kingdom), still playing
  96: 4BeerMoney1 (United Kingdom), still playing
  97: 4BetJam4Life (Belgium), still playing
  98: 4WEEDMAN20 (Canada), still playing
  99: 4_VaNyA_4 (Moldova), still playing
  100: 4eXoHuH (Moldova), still playing
  101: 4ever10 (Finland), still playing
  102: 4redmile (Canada), still playing
  103: 5 banki (Croatia), still playing
  104: 501MADA (Madagascar), still playing
  105: 50km (Canada), still playing
  106: 52_problemz (Canada), still playing
  107: 554477 (Brazil), still playing
  108: 56NeverLose (Estonia), still playing
  109: 57julian (Switzerland), still playing
  110: 5Dmark2 (Ukraine), still playing
  111: 5oulCtrl (Austria), still playing
  112: 5years (Germany), still playing
  113: 64diamond (Austria), still playing
  114: 66don pedro (Norway), still playing
  115: 6pints1999 (United Kingdom), still playing
  116: 743743 (Brazil), still playing
  117: 777marech777 (Russia), still playing
  118: 777zloba777 (Belarus), still playing
  119: 77TheMayor77 (Brazil), still playing
  120: 77blackviper (Germany), still playing
  121: 77portuga (Brazil), still playing
  122: 7El7 (Germany), still playing
  123: 7digofelix7 (Brazil), still playing
  124: 7edem (United Kingdom), still playing
  125: 7ferikam7 (Slovakia), still playing
  126: 7jujuba7 (Brazil), still playing
  127: 8 L G (United Kingdom), still playing
  128: 83773RC411 (United Kingdom), still playing
  129: 86ofdiamonds (Austria), still playing
  130: 888Nicole888 (Slovakia), still playing
  131: 888poker_LOL (Canada), still playing
  132: 88JohnWick88 (United Kingdom), still playing
  133: 88kirk88 (Canada), still playing
  134: 88pro88 (United Kingdom), still playing
  135: 8Blinder8 (Switzerland), still playing
  136: 8pokerwolf8 (Germany), still playing
  137: 97oilers (Canada), still playing
  138: 99Palanke (Brazil), still playing
  139: 99_shark_94 (Slovakia), still playing
  140: 9cream4 (Greece), still playing
  141: 9o9p9q (China), still playing
  142: @PETERS67@ (Sweden), still playing
  143: A Q MINIMUM (United Kingdom), still playing
  144: A.Kakashi (Kazakhstan), still playing
  145: A.Zivkovic (Serbia), still playing
  146: A.c.a.b. 538 (Germany), still playing
  147: AA-GerEsp (Germany), still playing
  148: AALAN77 (Brazil), still playing
  149: AARTEMIS2000 (Greece), still playing
  150: AAReidAA (Czech Republic), still playing
  151: AARock'onKK (Canada), still playing
  152: AATUNG (Taiwan), still playing
  153: AA_WOLF21 (Germany), still playing
  154: AAleonidas (Greece), still playing
  155: AAmaster93 (Canada), still playing
  156: AAndrewsKK (Brazil), still playing
  157: AArvee7 (India), still playing
  158: AAv1969 (Switzerland), still playing
  159: ADREKS (Lithuania), still playing
  160: AFLUCHI (Brazil), still playing
  161: AH!comeonman (Canada), still playing
  162: AJF30 (Canada), still playing
  163: AJPokerpro (United Kingdom), still playing
  164: AJSallenave (Brazil), still playing
  165: AJSuited16 (Canada), still playing
  166: AKaled (Brazil), still playing
  167: AKgringoAK (Brazil), still playing
  168: ALEX26789 (Germany), still playing
  169: ALEbcard (Brazil), still playing
  170: ALLEXarm (Russia), still playing
  171: ALLPC (Argentina), still playing
  172: ALTUSDOMUS (Brazil), still playing
  173: ALpoka (Germany), still playing
  174: ANDREI1543 (Romania), still playing
  175: ANTARKTIKUS (Germany), still playing
  176: AQ 211 (Switzerland), still playing
  177: ARA61RUS (Russia), still playing
  178: ARARATLI (Germany), still playing
  179: ARICCI.BOSSO (Greece), still playing
  180: ARTEM93RUS1 (Russia), still playing
  181: AS Leshiy (Estonia), still playing
  182: ASIAAN (Netherlands), still playing
  183: ASLAN_LEV07 (Russia), still playing
  184: ASSIRIJ (Russia), still playing
  185: ASU1151 (Japan), still playing
  186: ATAROZA (Russia), still playing
  187: ATR90 (Brazil), still playing
  188: AVATARcoco (Romania), still playing
  189: AVRD (Russia), still playing
  190: AYAHUASKA-IN (Argentina), still playing
  191: AadrovanRj21 (Brazil), still playing
  192: AbacateLeao (Brazil), still playing
  193: AbsentMind13 (Canada), still playing
  194: Ace Zzang (South Korea), still playing
  195: AceKicker_19 (Canada), still playing
  196: AcePheres (Brazil), still playing
  197: Acer640 (United Kingdom), still playing
  198: Achelous88 (China), still playing
  199: AchoBogdanov (Bulgaria), still playing
  200: Aco_Zeko (Croatia), still playing
  201: Adam4_Condor (Czech Republic), still playing
  202: Adamo26 (Germany), still playing
  203: AdiMutu1001 (Romania), still playing
  204: AdiiiBoiii (Canada), still playing
  205: Adrijan_S (Montenegro), still playing
  206: AeronT510 (Germany), still playing
  207: Aferman (Russia), still playing
  208: Agademmon (Poland), still playing
  209: AgatonSaXXX (Sweden), still playing
  210: Agentul05 (Romania), still playing
  211: Agharazi (Azerbaijan), still playing
  212: Ahodal (Denmark), still playing
  213: AidaminaV (Canada), still playing
  214: Airplay333 (United Kingdom), still playing
  215: Ajw279 (United Kingdom), still playing
  216: Al Panov (Russia), still playing
  217: AlGiNho (Lithuania), still playing
  218: AlKatzone9 (Germany), still playing
  219: Alan jsy (Jersey), still playing
  220: AlanParati (Brazil), still playing
  221: Aland93 (United Kingdom), still playing
  222: Albu.uk (United Kingdom), still playing
  223: Alchemy47 (United Kingdom), still playing
  224: AleJkA74 (Russia), still playing
  225: Aleksey99198 (Russia), still playing
  226: AlemaoAlves (Brazil), still playing
  227: Alex Bez (Brazil), still playing
  228: Alex Welsh (Russia), still playing
  229: AlexEliseev7 (Russia), still playing
  230: AlexGC1989 (Romania), still playing
  231: AlexGelinski (Brazil), still playing
  232: AlexGht (Romania), still playing
  233: AlexGreen174 (Russia), still playing
  234: AlexPoc (Russia), still playing
  235: AlexS1 (Canada), still playing
  236: AlexShim89 (Belarus), still playing
  237: Alex_20791 (India), still playing
  238: AlexanSupert (Argentina), still playing
  239: Alexandro466 (Ukraine), still playing
  240: Alexey3888 (Russia), still playing
  241: AlfonsoC87 (Germany), still playing
  242: AliasGuss83 (Germany), still playing
  243: AllQuantic (Brazil), still playing
  244: Allan.SCM (Brazil), still playing
  245: Almighty_CZ (Czech Republic), still playing
  246: AlmoLXVII (Canada), still playing
  247: AloisioRusso (Brazil), still playing
  248: Aluminiumboy (Austria), still playing
  249: Amai.knx (Germany), still playing
  250: Amauri410 (Brazil), still playing
  251: AmazingPlay9 (Brazil), still playing
  252: AmkarPerm (Russia), still playing
  253: Amnesia2013 (United Kingdom), still playing
  254: Anao19 (Brazil), still playing
  255: AncientGiant (United Kingdom), still playing
  256: Anderbrant (Sweden), still playing
  257: Anderson a55 (Brazil), still playing
  258: Andr the gun (United Kingdom), still playing
  259: Andrebert123 (Germany), still playing
  260: Andreflk13 (Brazil), still playing
  261: AndreiDevil7 (Romania), still playing
  262: AndreiMR90 (Denmark), still playing
  263: AndrewK174 (Russia), still playing
  264: Andriese25 (United Kingdom), still playing
  265: Andriic155 (Latvia), still playing
  266: Andruha353 (Russia), still playing
  267: AndyTheBhoy1 (United Kingdom), still playing
  268: AndyonCrack (Germany), still playing
  269: Angelfly1711 (United Kingdom), still playing
  270: Anicarrr (Argentina), still playing
  271: Anick8888 (Brazil), still playing
  272: Anna Sh1210 (Russia), still playing
  273: Anndreass (Russia), still playing
  274: Anne 25-1995 (Germany), still playing
  275: Anonimo45541 (Peru), still playing
  276: AntiMadrid4Life (Netherlands), still playing
  277: Antoshka960 (Russia), still playing
  278: Ap0CXVI (United Kingdom), still playing
  279: ArasJT (Poland), still playing
  280: ArdaAces83 (Germany), still playing
  281: ArdiVa (Estonia), still playing
  282: Arean1122 (Netherlands), still playing
  283: AreasJGA (Brazil), still playing
  284: ArekSocal (Germany), still playing
  285: Ares0966 (Bulgaria), still playing
  286: Aris103 (Canada), still playing
  287: Armin2188 (Ukraine), still playing
  288: ArnasSL (Lithuania), still playing
  289: ArnfeltDK (Denmark), still playing
  290: Arnisss (Lithuania), still playing
  291: Arrjay (Canada), still playing
  292: Art090 (Russia), still playing
  293: Artb001 (Poland), still playing
  294: Artem.Dnep (Ukraine), still playing
  295: Artem7447 (Russia), still playing
  296: ArthurA00 (Brazil), still playing
  297: ArthurdeCamp (Brazil), still playing
  298: ArturR2R (Ukraine), still playing
  299: Aruneto (Lithuania), still playing
  300: Arut022 (Russia), still playing
  301: ArveH1 (Norway), still playing
  302: Asamoah32 (Greece), still playing
  303: AsesArgentos (Argentina), still playing
  304: AsjBaaaf (New Zealand), still playing
  305: Asso_PB (Germany), still playing
  306: AtCoPower (Germany), still playing
  307: Atkin1987 (Germany), still playing
  308: Atlantic Oce (Belgium), still playing
  309: Atoomie (Netherlands), still playing
  310: AttackonBK (South Korea), still playing
  311: AttiIa88 (Russia), still playing
  312: Atzenkeeper4 (Germany), still playing
  313: Audrius1983 (Lithuania), still playing
  314: Aurimas693 (Lithuania), still playing
  315: AvSts (Russia), still playing
  316: Awesome Lush (United Kingdom), still playing
  317: Aycdeniro23 (Germany), still playing
  318: Aydin1985 (Germany), still playing
  319: A||Strik3r|| (United Kingdom), still playing
  320: B!G_SL!ck-AK (Germany), still playing
  321: B0NEYARD (Canada), still playing
  322: B0nChance (Austria), still playing
  323: B0neShaker (Bulgaria), still playing
  324: B4lorn (Romania), still playing
  325: BAGPATIOH (Russia), still playing
  326: BASSPIRAT (Switzerland), still playing
  327: BATTOU5A1 (Ecuador), still playing
  328: BBBrielle (Canada), still playing
  329: BCVixen (Canada), still playing
  330: BC_Pres (Canada), still playing
  331: BEJO800 (Georgia), still playing
  332: BERLIN2812 (Germany), still playing
  333: BETAJIbOoo (Belarus), still playing
  334: BFJoker (Germany), still playing
  335: BFire19 (Germany), still playing
  336: BGrinding (Canada), still playing
  337: BIDULABACK (Brazil), still playing
  338: BIELXXT96 (Brazil), still playing
  339: BIG FLOPPY 1 (Canada), still playing
  340: BIGDOMO87 (United Kingdom), still playing
  341: BIGSLICKS09 (Canada), still playing
  342: BIGUN32 (Russia), still playing
  343: BIROcorbelia (Brazil), still playing
  344: BKOTEAM (Romania), still playing
  345: BORN2SHINE (Sweden), still playing
  346: BRITKING25 (United Kingdom), still playing
  347: BTRS1987 (Switzerland), still playing
  348: BUKSHY (Canada), still playing
  349: BUYNI (Armenia), still playing
  350: Babuha1984 (Belarus), still playing
  351: Bad777Santa (Russia), still playing
  352: BadaloaFill (Brazil), still playing
  353: Badugi1982 (Russia), still playing
  354: Bagojam! (Ireland), still playing
  355: Bakalazaros (Greece), still playing
  356: Balducci73 (Brazil), still playing
  357: BalonyM (Canada), still playing
  358: Bane267 (Austria), still playing
  359: Banhetaa (Brazil), still playing
  360: BanicIvan (Croatia), still playing
  361: BankItDrew (Canada), still playing
  362: Bantamania (United Kingdom), still playing
  363: BarasM (Lithuania), still playing
  364: Barbarosa555 (Ukraine), still playing
  365: Barber2011 (Brazil), still playing
  366: Baron0001 (Germany), still playing
  367: Bartek K86 (Poland), still playing
  368: BartekNiki (Poland), still playing
  369: Bashov (Bulgaria), still playing
  370: Basti625 (Germany), still playing
  371: Batman52164 (United Kingdom), still playing
  372: BatutinhaBR (Brazil), still playing
  373: BcKdRfLsH (Norway), still playing
  374: BcomeSomeone (Germany), still playing
  375: BeNeViSToChO (Romania), still playing
  376: BeatByNuts (Canada), still playing
  377: BeatleBR (Brazil), still playing
  378: BeatleEd_3 (Brazil), still playing
  379: BeaverTurbo (Sweden), still playing
  380: Bedze (United Kingdom), still playing
  381: BeeF_306 (Poland), still playing
  382: BeerBoxShoe (Canada), still playing
  383: Belabacsi (Hungary), still playing
  384: Belis07 (Switzerland), still playing
  385: Bellagio2209 (Russia), still playing
  386: Berkowitz33 (Brazil), still playing
  387: Bernardo807 (Brazil), still playing
  388: Bertoldo01 (Brazil), still playing
  389: Bespont (Russia), still playing
  390: Best4592 (United Kingdom), still playing
  391: Betao_Arck (Brazil), still playing
  392: BetoHas (Brazil), still playing
  393: BettyBoo72 (United Kingdom), still playing
  394: Bicho da Goiaba (Brazil), still playing
  395: Big Chudo (Ukraine), still playing
  396: Big Fold HD (United Kingdom), still playing
  397: Big Mac 7179 (India), still playing
  398: Big Rato (Brazil), still playing
  399: BigPex (Brazil), still playing
  400: BigStack54 (United Kingdom), still playing
  401: BigStick91 (Canada), still playing
  402: BigZou (Canada), still playing
  403: Bigboysampa (Brazil), still playing
  404: BiggMarkk (Canada), still playing
  405: Biggaveli187 (Switzerland), still playing
  406: BigstacBuly (Greece), still playing
  407: Bill Sigma75 (Canada), still playing
  408: Bill@TheCool (Greece), still playing
  409: BillionaireBoyz (United Kingdom), still playing
  410: Bilupik (Ukraine), still playing
  411: BinaryStorm (Russia), still playing
  412: Binders420 (Norway), still playing
  413: BinhoVD.a (Brazil), still playing
  414: Biocid (Sweden), still playing
  415: Biodelic420 (Brazil), still playing
  416: Bitoks (Brazil), still playing
  417: Bjoern24 (Switzerland), still playing
  418: Black Loc15 (Norway), still playing
  419: BlackFourz (Mexico), still playing
  420: BlackStyle11 (Uruguay), still playing
  421: Blackhat1234 (Canada), still playing
  422: Blackjack787 (Canada), still playing
  423: Blackk43 (Ukraine), still playing
  424: Blackpro920 (Bolivia), still playing
  425: BlackyOrange (Argentina), still playing
  426: Blazman7 (Czech Republic), still playing
  427: Blitz311 (Canada), still playing
  428: Blokiado (Brazil), still playing
  429: Blomst (Norway), still playing
  430: BluBamboo (United Kingdom), still playing
  431: BlueP73 (United Kingdom), still playing
  432: Bluff me 911 (Austria), still playing
  433: BluffTheory (Russia), still playing
  434: BluffedLife (Croatia), still playing
  435: BluffmOre1 (Romania), still playing
  436: BoLa1987 (Brazil), still playing
  437: BoPoHvitek89 (Moldova), still playing
  438: BobbyW519 (Canada), still playing
  439: Bobbyruss1 (Canada), still playing
  440: BobiBigspuds (United Kingdom), still playing
  441: Bobl124 (Estonia), still playing
  442: Bocian2222 (Slovakia), still playing
  443: BogdanX98 (Romania), still playing
  444: Bokhållare (Sweden), still playing
  445: Bolko (Germany), still playing
  446: Bollego (Mexico), still playing
  447: BoogyWoogieX (Cayman Islands), still playing
  448: Booster-Luck (Austria), still playing
  449: Bootsymann (Germany), still playing
  450: Boozeash! (Canada), still playing
  451: Born to trap (Ireland), still playing
  452: Boss210021 (Canada), still playing
  453: BotsaSlayer (Serbia), still playing
  454: BoyVn99 (Czech Republic), still playing
  455: Bozajzma (Serbia), still playing
  456: Bozzie_B (Netherlands), still playing
  457: Br1ngCabbage (Ukraine), still playing
  458: Br@mmer (Denmark), still playing
  459: Braceslut (Netherlands), still playing
  460: Braggars (United Kingdom), still playing
  461: Brainy14 (Canada), still playing
  462: Brato4ik60 (Russia), still playing
  463: Brauni22 (Austria), still playing
  464: Breakchips (Netherlands), still playing
  465: BredaBreda (Brazil), still playing
  466: BrenoSecchin (Brazil), still playing
  467: BrinBran77 (Ireland), still playing
  468: Brisni (Brazil), still playing
  469: BritoSP1975 (Brazil), still playing
  470: Brookesyful (United Kingdom), still playing
  471: Bruno "FrZy" (Brazil), still playing
  472: Bruno Raise (Brazil), still playing
  473: Bruno.Aggeu (Brazil), still playing
  474: BrunoBezerr4 (Brazil), still playing
  475: BrunoCaetano (Brazil), still playing
  476: Brunopoker94 (Brazil), still playing
  477: Bryant1k (Sweden), still playing
  478: BudaKK (Hungary), still playing
  479: BuddyAces2 (Germany), still playing
  480: Bukmeikar406 (Bulgaria), still playing
  481: BundAA (Brazil), still playing
  482: Burlaka780 (Canada), still playing
  483: Burning-Kiez (Germany), still playing
  484: Burtininkas (Lithuania), still playing
  485: Busa20 (Netherlands), still playing
  486: BuzzzBeee85 (United Kingdom), still playing
  487: BvLnd (United Kingdom), still playing
  488: C0rpsbal (Netherlands), still playing
  489: CADRAGAN (United Kingdom), still playing
  490: CANGAIBA ZL (Japan), still playing
  491: CANR marchel (Czech Republic), still playing
  492: CAPPY7708 (Canada), still playing
  493: CH-Lobster (Switzerland), still playing
  494: CHIEFNOTELL (Canada), still playing
  495: CHILLIVERDE (Brazil), still playing
  496: CHININ118 (China), still playing
  497: CHIQUIDEALER (Argentina), still playing
  498: CHUDAK22 (Russia), still playing
  499: CJFOX69 (United Kingdom), still playing
  500: CLEVER666 (United Kingdom), still playing
  501: CLOWNF15H (United Kingdom), still playing
  502: CRAZY_YEHOOO (Russia), still playing
  503: CRIFEALE (United Kingdom), still playing
  504: CRmachineA (Germany), still playing
  505: CSWAMI (Canada), still playing
  506: CZPablos (Czech Republic), still playing
  507: CZTitan (Czech Republic), still playing
  508: Ca$haholic (Netherlands), still playing
  509: CaJo (Canada), still playing
  510: Cabeça Tilt (Brazil), still playing
  511: Calavera I (Brazil), still playing
  512: Calib.45 (Norway), still playing
  513: Callavi (United Kingdom), still playing
  514: CanDo.ca (Canada), still playing
  515: CanoCraig (Canada), still playing
  516: Canuma (Germany), still playing
  517: Capitao1987 (Brazil), still playing
  518: Caporegim (Romania), still playing
  519: Capote18 (Germany), still playing
  520: Capperrr (Denmark), still playing
  521: Carbbon88xxx (Switzerland), still playing
  522: Carboneraa (Brazil), still playing
  523: Carbutron0 (Malta), still playing
  524: Card Scare (Belarus), still playing
  525: Carlos levis (Brazil), still playing
  526: Carloss.Rox (Brazil), still playing
  527: Carloss86 (Paraguay), still playing
  528: Carpyness (United Kingdom), still playing
  529: Caruso FSM (Brazil), still playing
  530: CashMagnetic (Russia), still playing
  531: CashManQ (Canada), still playing
  532: CashSwing (Canada), still playing
  533: Casper698 (Belarus), still playing
  534: Castleworm (Russia), still playing
  535: Cata Muresan (Romania), still playing
  536: CatalaCule (Mexico), still playing
  537: Cayetana999 (Romania), still playing
  538: Cbart_05 (Canada), still playing
  539: CdnKid1 (Canada), still playing
  540: Celinou1986 (Belgium), still playing
  541: Celofyz44 (Poland), still playing
  542: Cemmell (Lithuania), still playing
  543: CentennialPk (Canada), still playing
  544: Ch4rm1ngK1d (Malta), still playing
  545: Chacha0424 (Belgium), still playing
  546: Chalky 29 (Ireland), still playing
  547: ChaptOne (Austria), still playing
  548: CharlesUlman (Brazil), still playing
  549: Charlesdirei (Brazil), still playing
  550: Charliegore8 (Hungary), still playing
  551: Charmegan (United Kingdom), still playing
  552: ChaseSlaught (Netherlands), still playing
  553: ChaseTyler14 (Canada), still playing
  554: Che Lovek999 (Belarus), still playing
  555: Check90 (Russia), still playing
  556: Checker13579 (Germany), still playing
  557: ChedrStack (Canada), still playing
  558: Chengueee (Uruguay), still playing
  559: CherryOnT0p (Austria), still playing
  560: Chertz3 (Canada), still playing
  561: Chesterman13 (Canada), still playing
  562: Chicholin (Chile), still playing
  563: ChikenGuska (Russia), still playing
  564: Chillaar23 (Luxembourg), still playing
  565: ChinLover (Canada), still playing
  566: ChipStaker41 (Canada), still playing
  567: Chiqitas (Denmark), still playing
  568: Chloridee (Finland), still playing
  569: Chnuflito (Switzerland), still playing
  570: Chrisbo76 (Belgium), still playing
  571: ChristaBorg (Canada), still playing
  572: ChristianBR4 (Brazil), still playing
  573: Christine25 (Canada), still playing
  574: ChunShark (Chile), still playing
  575: ChupiscaTga (Brazil), still playing
  576: ChuvaS (Brazil), still playing
  577: ChïpMonk (Macao), still playing
  578: Ciechom (Poland), still playing
  579: Cigana#13 (Brazil), still playing
  580: Claudinhohb (Brazil), still playing
  581: Cleantough (Russia), still playing
  582: Cloughy987 (United Kingdom), still playing
  583: Cmup (Latvia), still playing
  584: Coast98 (Brazil), still playing
  585: Cobra2252 (Ukraine), still playing
  586: Cocaloll (Greece), still playing
  587: CockBars (Finland), still playing
  588: Coisty806 (United Kingdom), still playing
  589: Colisea (Latvia), still playing
  590: CondeD89 (Brazil), still playing
  591: Conger88 (Ireland), still playing
  592: Conny 1991 (Switzerland), still playing
  593: CookieDough (Canada), still playing
  594: Coolgusty (Germany), still playing
  595: Costin1206 (Romania), still playing
  596: Cotsy121 (Ireland), still playing
  597: Coxxinhaa (Brazil), still playing
  598: CrazySezya (Ukraine), still playing
  599: CrazzyGT (Czech Republic), still playing
  600: CristianoDP (Brazil), still playing
  601: Croat31 (Canada), still playing
  602: Crockett604 (Canada), still playing
  603: CrownParty (Germany), still playing
  604: Cruelcastro (Brazil), still playing
  605: Csabesz3 (Hungary), still playing
  606: Curt360x (United Kingdom), still playing
  607: Cybergunther (Denmark), still playing
  608: CycuIM (Poland), still playing
  609: D PitcherAK (Canada), still playing
  610: D!egoRezende (Brazil), still playing
  611: D.japaa (Brazil), still playing
  612: D4niel138 (Sweden), still playing
  613: DALEX11155 (Germany), still playing
  614: DARK_White89 (Hungary), still playing
  615: DATAPlayer1 (Brazil), still playing
  616: DAVID_G77 (Mexico), still playing
  617: DAnGIu96 (Germany), still playing
  618: DAurea (Brazil), still playing
  619: DE5PERADO5 (United Kingdom), still playing
  620: DEADyshka (Russia), still playing
  621: DELINITOR40 (Canada), still playing
  622: DENGER_AA_ (Russia), still playing
  623: DENIS7804 (Russia), still playing
  624: DERFLONG (Canada), still playing
  625: DGF777 (Romania), still playing
  626: DIAMONDDAL (Canada), still playing
  627: DIAMONDxxx (Sweden), still playing
  628: DJARI777 (Russia), still playing
  629: DJORFF (Brazil), still playing
  630: DMG30 (Germany), still playing
  631: DMU-Flyt (Denmark), still playing
  632: DNSJ (Germany), still playing
  633: DNX84 (Romania), still playing
  634: DOOOOITTTT (Mexico), still playing
  635: DOTAA2 (Estonia), still playing
  636: DOUGWILSON01 (Germany), still playing
  637: DRobinson50 (Croatia), still playing
  638: DSM.Big (Brazil), still playing
  639: DSM09 (Brazil), still playing
  640: DStrangelove (Canada), still playing
  641: DT Builder (United Kingdom), still playing
  642: DTARRICONE (Brazil), still playing
  643: DUALMTN (Canada), still playing
  644: DWEEB11 (Ireland), still playing
  645: DWonderWomen (Ireland), still playing
  646: DW|Steven (Netherlands), still playing
  647: DYSHANBE (Russia), still playing
  648: DZiZZY333 (Canada), still playing
  649: D_DIGGLER99 (Canada), still playing
  650: Da5ch (Canada), still playing
  651: DaFloppyNutz (Denmark), still playing
  652: DaGrind@R (Cyprus), still playing
  653: DaMotherFkr (Brazil), still playing
  654: DaNutttR (Romania), still playing
  655: DaSenorita (Canada), still playing
  656: DaTaM001 (Georgia), still playing
  657: DaTree (Dominican Republic), still playing
  658: DaWarsaw (Poland), still playing
  659: Dabledore7 (Mexico), still playing
  660: Daddddymufff (United Kingdom), still playing
  661: Dafydd Lewis (United Kingdom), still playing
  662: DaiGoZaBabyt (Bulgaria), still playing
  663: DainiusU (Lithuania), still playing
  664: Daliany (Canada), still playing
  665: Dam4666 (Greece), still playing
  666: Damiao MV (Brazil), still playing
  667: Daminik_love (Russia), still playing
  668: DamoNics (Romania), still playing
  669: Dan.Almeida (Brazil), still playing
  670: DanBotelho1 (Brazil), still playing
  671: Danadão (Brazil), still playing
  672: DangerMoneys (United Kingdom), still playing
  673: DangerStrong (Germany), still playing
  674: Dangerr44 (Bulgaria), still playing
  675: Dangerzinn (Brazil), still playing
  676: DaniBoti (Brazil), still playing
  677: DanielDfo (Brazil), still playing
  678: Danillo.G007 (Brazil), still playing
  679: Daniwell1000 (Brazil), still playing
  680: DannyN13 (Canada), still playing
  681: Danzi1 (Russia), still playing
  682: DarkziN6 (Brazil), still playing
  683: Darmavali (Netherlands), still playing
  684: Darua (Switzerland), still playing
  685: Darwinsfish (Netherlands), still playing
  686: DatWillDoPig (Ireland), still playing
  687: DavidSutiL (Brazil), still playing
  688: Davlatov (Russia), still playing
  689: DawaBoxon (Belgium), still playing
  690: Dbankjob7 (United Kingdom), still playing
  691: DeGjalt (Netherlands), still playing
  692: DeN4iX (Russia), still playing
  693: DeZauZeR (Russia), still playing
  694: Deadly007 (United Kingdom), still playing
  695: DeathBrain09 (Germany), still playing
  696: DeazDixon (Switzerland), still playing
  697: DebowyBolo (Poland), still playing
  698: DedOnTheTurn (United Kingdom), still playing
  699: Deividas K (Lithuania), still playing
  700: DelPane (Brazil), still playing
  701: DelReyno (Mexico), still playing
  702: Deliriaus (Finland), still playing
  703: Demitri1985 (Brazil), still playing
