PokerStars Tournament #2243832673, No Limit Hold'em
Buy-In: $20.00/$2.00 USD
10027 players
Total Prize Pool: $200540.00 USD 
Tournament started 2018/03/18 14:00:00 ET

  1: #1iSeeStars (Denmark), still playing
  2: #N0^Contr0l# (Brazil), still playing
  3: $()meb()dY (Russia), still playing
  4: $-=IKU=-$29 (Romania), still playing
  5: $<Hada-Tum>$ (Russia), still playing
  6: $aymon9 (Brazil), still playing
  7: $mushbaII (Romania), still playing
  8: $veti Duje (Croatia), still playing
  9: %of-MeEE (United Kingdom), still playing
  10: *-DiHhH-* (Brazil), still playing
  11: *Ripuli*89 (Germany), still playing
  12: *S*SEVA*S* (Belarus), still playing
  13: -ANALNATSHA- (Kazakhstan), still playing
  14: -FilippaT- (Sweden), still playing
  15: -Open$hove- (Hungary), still playing
  16: ...liesas... (Lithuania), still playing
  17: .antaris123 (Germany), still playing
  18: .pi.pa.poo.0 (Germany), still playing
  19: 0077539 (Ukraine), still playing
  20: 00D00SH00 (Russia), still playing
  21: 03steedmst (United Kingdom), still playing
  22: 0KINGBARTEK0 (Austria), still playing
  23: 0YK-71 (Cyprus), still playing
  24: 0blanc0 (Mexico), still playing
  25: 0ndrej (Czech Republic), still playing
  26: 0s0n0a0k0e (Austria), still playing
  27: 10$wplecy (Poland), still playing
  28: 100CACIFE (Brazil), still playing
  29: 100dom (Lithuania), still playing
  30: 113 Jarun (Croatia), still playing
  31: 116778 (Austria), still playing
  32: 11CAL11 (United Kingdom), still playing
  33: 11undici11 (Switzerland), still playing
  34: 121323243435454 (Germany), still playing
  35: 12232829 (Switzerland), still playing
  36: 123 lalala (Denmark), still playing
  37: 123nowitsm_ (Switzerland), still playing
  38: 123simon123 (United Kingdom), still playing
  39: 12bdowns (Canada), still playing
  40: 17 _mai (Norway), still playing
  41: 174BOEC174 (Russia), still playing
  42: 187JuPp187 (Germany), still playing
  43: 1962525 (Russia), still playing
  44: 19TOBY93 (Netherlands), still playing
  45: 19Yiddo88 (United Kingdom), still playing
  46: 19bruno96 (Brazil), still playing
  47: 19daniel82 (Germany), still playing
  48: 1BlueMarlin1 (United Kingdom), still playing
  49: 1EP3 (Russia), still playing
