PokerStars Tournament #2281698050, No Limit Hold'em
Super Satellite
Buy-In: $13.37/$1.63 USD
649 players
Total Prize Pool: $8677.13 USD 
Target Tournament #2255161657 Buy-In: $215.00 USD
Tournament started 2018/04/18 14:02:00 ET

  1: *Dahlewitz* (Germany), still playing
  2: -LJ89- (Germany), still playing
  3: 0Unbeaten0 [2] (Norway), still playing
  4: 1k_challenge (United Kingdom), still playing
  5: 2late4play (Russia), still playing
  6: 4EREII (Ukraine), still playing
  7: A12Begemotov (Russia), still playing
  8: AIk13 (Russia), still playing
  9: ANGRY OLAV (Germany), still playing
  10: Achkata0001 (Bulgaria), still playing
  11: AdiMutu1001 (Romania), still playing
  12: AlexandruGRT (Romania), still playing
  13: Almoth (Sweden), still playing
  14: Amauri410 (Brazil), still playing
  15: Andy-Veselof (United Kingdom), still playing
  16: Artem.Dnep (Ukraine), still playing
  17: Attillah [2] (Estonia), still playing
  18: Ayzaa (Brazil), still playing
  19: BAGPATIOH (Russia), still playing
  20: BNNR86 (Denmark), still playing
  21: BYLY TOM HU [3] (China), still playing
  22: BankofBrian (United Kingdom), still playing
  23: BcuzZz (Switzerland), still playing
  24: BeaverKTT (Brazil), still playing
  25: Bellagio2209 (Russia), still playing
  26: Berthadog (Denmark), still playing
  27: BigRafa007 (Brazil), still playing
  28: Boa555 (Russia), still playing
  29: Bole85 (Serbia), still playing
  30: BonoBG (Bulgaria), still playing
  31: BornSurvivor (United Kingdom), still playing
  32: Br1ngCabbage (Ukraine), still playing
  33: BravoChamp (Lithuania), still playing
  34: Brazapper (Brazil), still playing
  35: BrinBran77 (Ireland), still playing
  36: BrunoCaetano (Brazil), still playing
  37: CARGO291 (Bulgaria), still playing
  38: CIGAN0.010 (Brazil), still playing
  39: COCED88 (Russia), still playing
  40: Caporegim [2] (Romania), still playing
  41: Carlos_die_I [2] (Germany), still playing
  42: CasperDi (Germany), still playing
  43: Cellka (Canada), still playing
  44: Cezar6666 (Poland), still playing
  45: Chaca1312 (Argentina), still playing
  46: ChaseTyler14 (Canada), still playing
  47: Cheremis (Russia), still playing
  48: Chocoyote (Germany), still playing
  49: Chukylaje (Argentina), still playing
  50: Colinja8 (Netherlands), still playing
  51: ConTroLRoBoT (Canada), still playing
  52: CopperCoinEE (Estonia), still playing
  53: CraekZe (Denmark), still playing
  54: D1rtyR1v3 (Ukraine), still playing
  55: DEDYWKACERJ1 (Russia), still playing
  56: DFisT33 (Germany), still playing
  57: DIJames (Switzerland), still playing
  58: DON_PP (Austria), still playing
  59: DOOOOITTTT (Mexico), still playing
  60: Daan_kmisa10 (Brazil), still playing
  61: Dahl938 (Germany), still playing
  62: Dali25 (Netherlands), still playing
  63: Danelis1 (Greece), still playing
  64: Dannyz0r (Romania), still playing
  65: Darkter (Moldova), still playing
  66: Debomeg (Brazil), still playing
  67: Devolve_PS (Brazil), still playing
  68: Dolfinplayer (Germany), still playing
  69: Domcat101 (Belgium), still playing
  70: Dr.Tern (Russia), still playing
  71: Drunegalm (Switzerland), still playing
  72: Ecky_HH (Switzerland), still playing
  73: EimisL (Lithuania), still playing
  74: Elanfly (Russia), still playing
  75: Emilek_18 (Poland), still playing
  76: Enzoenzini (Norway), still playing
  77: EviDives (Latvia), still playing
  78: Eyes of Markets (Germany), still playing
  79: Fab-Dach (Brazil), still playing
  80: Fatherscooby (United Kingdom), still playing
  81: FaxerON (Russia), still playing
  82: Felipe DB (Brazil), still playing
  83: FilipAndre22 (Bulgaria), still playing
  84: Fiull-Fitt 2 (Bulgaria), still playing
  85: FreakOutZone (Finland), still playing
  86: FreddyRUS (Russia), still playing
  87: Frgsn (Canada), still playing
  88: Frytki (Denmark), still playing
  89: Fuzzy546 (Canada), still playing
  90: GROZ4 (Russia), still playing
  91: GY17 (Switzerland), still playing
  92: Gandalf525 (Poland), still playing
  93: Garfield933 (New Zealand), still playing
  94: GariUranga3 (Hungary), still playing
  95: Gdakiel (Poland), still playing
  96: Geniusz Sasa (Hungary), still playing
  97: GetLuckyB (Brazil), still playing
  98: Gmaritina (Greece), still playing
  99: Guille 910 (Brazil), still playing
  100: HDYU57 (Bulgaria), still playing
  101: HOYA15 (Romania), still playing
  102: Hachmoulox [2] (Morocco), still playing
  103: Hahnsworld (Germany), still playing
  104: Hauabwienix (Germany), still playing
  105: HeitorCEC (Brazil), still playing
  106: I.Vasilev999 (Bulgaria), still playing
  107: IboNexui (Ukraine), still playing
  108: Igra007 (Russia), still playing
  109: Igrok222 (Russia), still playing
  110: Iohengrin (Austria), still playing
  111: IvanB@raban (Russia), still playing
  112: Ivanobrain (Belgium), still playing
  113: J-P0K (Belgium), still playing
  114: J. Dreissig [2] (Brazil), still playing
  115: Jbittar (Brazil), still playing
  116: Jiagengacy [2] (China), still playing
