PokerStars Tournament #2282606654, No Limit Hold'em
Super Satellite
Buy-In: $13.37/$1.63 USD
875 players
Total Prize Pool: $11698.75 USD 
Target Tournament #2255161657 Buy-In: $215.00 USD
Tournament started 2018/04/21 17:02:00 ET

  1: *Rexlionex* (Chile), still playing
  2: -LJ89- (Germany), still playing
  3: 19Millions (Belarus), still playing
  4: 1morepls (Greece), still playing
  5: 1stWORLDream (Brazil), still playing
  6: 22action (United Kingdom), still playing
  7: 22yarik12 (Ukraine), still playing
  8: 2b4evil (Hungary), still playing
  9: 307aln (Romania), still playing
  10: 77Deejay77 [2] (Brazil), still playing
  11: 78MOREIRA (Brazil), still playing
  12: AMYGO37 (Romania), still playing
  13: APTH2017 (Brazil), still playing
  14: Abfall333 (Germany), still playing
  15: AbraxXo (Germany), still playing
  16: Aced2day (Denmark), still playing
  17: Achkata0001 (Bulgaria), still playing
  18: Aco_Zeko [2] (Croatia), still playing
  19: Agachado911 (Argentina), still playing
  20: Altay Vodka (Russia), still playing
  21: AlwaysGoBig9 (Costa Rica), still playing
  22: Andy-Veselof [2] (United Kingdom), still playing
  23: ArekSocal (Germany), still playing
  24: AssyrianHawk (Canada), still playing
  25: Augovvn1959 (Russia), still playing
  26: BANGLA POKER (Finland), still playing
  27: BOOOOOM92 (United Kingdom), still playing
  28: BRMK1ng (Germany), still playing
  29: BZZGA (Bolivia), still playing
  30: BaLaGaNoFf (Ukraine), still playing
  31: Babe from Sf (Bulgaria), still playing
  32: Bad Bu11ets (United Kingdom), still playing
  33: BamBam4040 [2] (Germany), still playing
  34: Baron0001 [2] (Germany), still playing
  35: Barto1299 (Poland), still playing
  36: Batigoal80 (Netherlands), still playing
  37: Batozmaj (Croatia), still playing
  38: Best375 (Russia), still playing
  39: Bet10na (Denmark), still playing
  40: Big Seva (Russia), still playing
  41: Bigdaft (United Kingdom), still playing
  42: BongadasVN (Germany), still playing
  43: Borsti37 (Germany), still playing
  44: Bricktop75 (Germany), still playing
  45: BrunoSAP [2] (Brazil), still playing
  46: Bucciliam (Germany), still playing
  47: C.J Hunts (Germany), still playing
  48: CALLMECALL1 (Austria), still playing
  49: CIGAN0.010 (Brazil), still playing
  50: COHOKILL (Canada), still playing
  51: CYBER_BOS228 (Russia), still playing
  52: CanDo.ca (Canada), still playing
  53: Check weighe (Russia), still playing
  54: Chelovek1990 (Russia), still playing
  55: Clea85 (Sweden), still playing
  56: CloserZH (Switzerland), still playing
  57: CoolinViS (Russia), still playing
  58: CurrD (United Kingdom), still playing
  59: DAVETHESCAFF (United Kingdom), still playing
  60: DanOlly (United Kingdom), still playing
  61: Dargor III [2] (Netherlands), still playing
  62: Datuk [2] (United Kingdom), still playing
  63: DaveWS333 (United Kingdom), still playing
  64: DemiGod-80 (Russia), still playing
  65: Dieferson09 (Brazil), still playing
  66: DionataPZZ (Brazil), still playing
  67: Domi2706 (Austria), still playing
  68: Dondiablo12 (Mexico), still playing
  69: Dr SigFreud (Brazil), still playing
  70: Drakon-21 [2] (Russia), still playing
  71: DrewM321 (United Kingdom), still playing
  72: Duovids (Iceland), still playing
  73: DüKKe (Brazil), still playing
  74: ENTesla (Poland), still playing
  75: ENorton79 (Netherlands), still playing
  76: EZEQUIEL.C10 (Netherlands), still playing
  77: Eplemuffins (Norway), still playing
  78: Fatfish228 (China), still playing
  79: Felipe nieto [2] (Mexico), still playing
  80: Fernando91 (Brazil), still playing
  81: FidisManibus (United Kingdom), still playing
  82: FlushFred (Germany), still playing
  83: Fraber333 (Germany), still playing
  84: Fred_kash (Belgium), still playing
  85: GB JETS.ONE (Netherlands), still playing
  86: GOTTARDO333 (Brazil), still playing
  87: GabrielPetcu25 (United Kingdom), still playing
  88: GambitGreek7 (Greece), still playing
  89: Gdakiel (Poland), still playing
  90: Gelaman (Ukraine), still playing
  91: Geps25 (Russia), still playing
  92: Goban899 (Russia), still playing
  93: Godliker_ (Belarus), still playing
  94: Goldenpoker5 [2] (Argentina), still playing
  95: GreenBoo [2] (Latvia), still playing
  96: H3FTY0 (United Kingdom), still playing
  97: HALLY8 (United Kingdom), still playing
  98: HATHOR30 [2] (Poland), still playing
  99: HUGIS23 (Argentina), still playing
  100: Hauabwienix (Germany), still playing
  101: HeavenV (Ukraine), still playing
  102: Hodection84 (Russia), still playing
  103: Hypering (Denmark), still playing
  104: I AM WISER (Canada), still playing
  105: ICyberU (Finland), still playing
  106: IGP4866 (Austria), still playing
  107: IGrindThat [2] (Romania), still playing
  108: Identity AK (Sweden), still playing
  109: Igra007 [2] (Russia), still playing
  110: IhavBestHand (United Kingdom), still playing
  111: InAnother (Russia), still playing
  112: InFaF (Russia), still playing
  113: IrkaBoss (Ukraine), still playing
  114: J.ZARZAR (Bolivia), still playing
  115: JACKCHESARE (Switzerland), still playing
