PokerStars Tournament #2278046017, No Limit Hold'em
Super Satellite
Buy-In: $13.37/$1.63 USD
578 players
Total Prize Pool: $7727.86 USD 
Target Tournament #2255161657 Buy-In: $215.00 USD
Tournament started 2018/04/16 14:02:00 ET

  1: 23talo91 (Germany), still playing
  2: ABORDAGE (Ukraine), still playing
  3: AVS29121968 (Russia), still playing
  4: AilSpider (Norway), still playing
  5: Alcohol-pro (Russia), still playing
  6: Bedard (Canada), still playing
  7: BlindRazorJJ (United Kingdom), still playing
  8: Boffens (Denmark), still playing
  9: Br1ngCabbage (Ukraine), still playing
  10: Buddakeks (Germany), still playing
  11: C0rne87 (Germany), still playing
  12: CHIPSCRAZYY (Brazil), still playing
  13: Chillero1441 (Austria), still playing
  14: DarkJaguar (Germany), still playing
  15: Diegomiranda (Brazil), still playing
  16: Drawzee (Russia), still playing
  17: EMOYI [2] (Paraguay), still playing
  18: EaglePervik (Russia), still playing
  19: Fiull_fiit [2] (United Kingdom), still playing
  20: Fred Shred 1 (United Kingdom), still playing
  21: Go_coll_me_men (Russia), still playing
  22: Good2beYoung (Russia), still playing
  23: Hecticrich (United Kingdom), still playing
  24: I cant stomp (Ukraine), still playing
  25: IntuitionIX (Denmark), still playing
  26: J. D. Daan (Ukraine), still playing
  27: Jeenero (Belarus), still playing
  28: JuliaMiha (Russia), still playing
  29: Kutschi999 (Germany), still playing
  30: L'Emperior (United Kingdom), still playing
  31: Le_Rithai (Switzerland), still playing
  32: LegendOnRise (Brazil), still playing
  33: Matthew.2578 (Netherlands), still playing
  34: N3v3r1 [2] (Bulgaria), still playing
  35: NeGiba (Russia), still playing
  36: OO-Nasty (Netherlands), still playing
  37: POKERL0C0 (Germany), still playing
  38: Paulada007 (Brazil), still playing
  39: Pepoich (Russia), still playing
  40: Pilatinhio (Belgium), still playing
  41: Polygrafyst (Ukraine), still playing
  42: Prinz_haze_8 (Germany), still playing
  43: RealN4p (Germany), still playing
  44: Rytuel5454 (Canada), still playing
  45: SIMONE280201 (Switzerland), still playing
  46: Saage (Finland), still playing
  47: Sany Boy (Serbia), still playing
  48: SilentWil [2] (Germany), still playing
  49: Stevestevee (United Kingdom), still playing
  50: TLNo.13 (Romania), still playing
  51: Tansanit7777 (Germany), still playing
  52: TautvydasR (Lithuania), still playing
  53: Vincenzo26 (Germany), still playing
  54: YESWECANT101 [2] (Germany), still playing
  55: ZIS36 (Ukraine), still playing
  56: Zihuatanejo3 (Russia), still playing
  57: ZverygiN555 (Russia), still playing
  58: admad2 (Poland), still playing
  59: alinochka0 (Russia), still playing
  60: andytiby (Romania), still playing
  61: artbizarroTA (Brazil), still playing
  62: atlhawk (Poland), still playing
  63: azzkii (Russia), still playing
  64: benny nagy (Romania), still playing
  65: bonus.99x (Germany), still playing
  66: cap1tanoo08 (United Kingdom), still playing
  67: catchyrec7 (Austria), still playing
  68: deersnik (Austria), still playing
  69: dejan1234567 (Austria), still playing
  70: fczpiter (Russia), still playing
  71: florchak [3] (Argentina), still playing
  72: fm_strategy (Romania), still playing
  73: fullluck78 (Ukraine), still playing
  74: giegie888 (Germany), still playing
  75: giony92d [2] (Romania), still playing
  76: holtender1 [2] (United Kingdom), still playing
  77: iampot (Canada), still playing
  78: janiszeib (Ireland), still playing
  79: jcmspoker (Brazil), still playing
  80: kuchel1981 (Germany), still playing
  81: macfly5555 (Belgium), still playing
  82: mers163 (Russia), still playing
  83: mogro840 (Netherlands), still playing
  84: naka_floripa (Brazil), still playing
  85: reggaevapour (United Kingdom), still playing
  86: rodrigovini (Brazil), still playing
  87: rr0303 [2] (Estonia), still playing
  88: sanchris7473 (Belgium), still playing
  89: serggorelyi7 (Russia), still playing
  90: sharpy666 (United Kingdom), still playing
  91: superman4222 (China), still playing
  92: svendottke [2] (Denmark), still playing
  93: ternoplayer (Slovakia), still playing
  94: thanos26 (Greece), still playing
  95: tudytza (Romania), still playing
  96: ulan2009 [3] (Canada), still playing
  97: vm174 (Russia), still playing
  98: waltimgv [2] (Brazil), still playing
  99: wlad1975 (Germany), still playing
  100: xleb78 (Russia), still playing
  101: ya Mishutka (Russia), still playing
  102: ollikahn23 (Germany), 
  103: roini.JZ (Georgia), 
  104: mustang9211 (Canada), 
  105: xJok3rxx (Germany), 
  106: Tcheleee (Brazil), 
  107: theibru (United Kingdom), 
  108: Zooom44 (Germany), 
  109: zu787 (Russia), 
  110: diego_1901 (Peru), 
  111: geilesLuder6 (Germany), 
  112: Somilie (Russia), 
  113: Drudkh88 (United Kingdom), 
  114: TakeUrPills [3] (Slovakia), 
  115: drevilxxx (Germany), 
  116: @rtemur (Russia), 
  117: Magz(vip) (Russia), 
  118: D.Aranha_j8 (Brazil), 
  119: alexpog1982 (Romania), 
  120: gunlog55 (Belgium), 
  121: Anilopia (Belarus), 
